UniRef50_Q96AZ6	A0A024RC76; K7CFV6; Q96AZ6; G3R4B5
UniRef50_Q00587	B0QYC6; Q00587-2; Q00587; A0A024R1J3; B0QYC7; B0QYC8
UniRef50_O08918	Q8N5D4; F6WBC3
UniRef50_Q8BZ09	
UniRef50_P30872	A0A096MLW0; A0A0D9SDH1; H2Q875; P30872; G7MXM8; P31391
UniRef50_O75952	O75952-6; E2ITD8; A0A0D9SFQ2; J3QQK7; J3QLW5; E2ITE0; A0A024RC21; O75952; J3KT09; B4DXA8
UniRef50_Q5JSJ4	B9EIK3; Q5JSJ4
UniRef50_Q13488	Q9Y487; A0A024R5E5; UPI0005CFF14C; Q13488; Q6QBN6; F5H5F3; Q13488-2; Q8TCH1; B4DQF7; F5H847; E9PM12; G1R426
UniRef50_H3BPB3	H3BPB3
UniRef50_V9GYC0	V9GYC0
UniRef50_Q95JS1	Q8N7S5; F5GZK3; UPI0005CFFC34; UPI0005D01260; UPI0005CFFDC8; F5H3L4; UPI0005D00D4C; UPI0005D013FF; F5H474; UPI0005D02CB1; UPI0005CFF64E; UPI0005D036CE
UniRef50_Q14938	Q14938; D2DXM9; A0A0D9R2G1; UPI0003ABBDB2; Q14938-4; K7EJB0; B4DHW2; G1RRB5; G3S3E9; A0A0A0MVZ5
UniRef50_F7ICC7	A1L379; H7C2Q6
UniRef50_A1L1C6	F8WE45; A1L1C6
UniRef50_Q8TD27	Q8TD27
UniRef50_U6D6B3	
UniRef50_A0A060WA78	B4DL16
UniRef50_Q96SZ5	G2HFE8; B3KXN9; Q96SZ5; H2RGA9
UniRef50_P01011	B3KS79; P01011; G3V595; A0A024R6P0; G3V3A0
UniRef50_H0Y6C6	H0Y6C6
UniRef50_X1IUA0	L8E851
UniRef50_P25686	A8K0R1; Q53QD7; F7H055; H9EM50; H2QJG7; C9JRD2; P25686
UniRef50_Q8IZW8	Q8IZW8
UniRef50_Q9NVE4	Q9NVE4
UniRef50_K7EQ39	K7EQ39
UniRef50_H0Y8F4	H0Y8F4
UniRef50_A3RDS0	A3RDS0
UniRef50_K7GL81	Q59H22; B4DQQ8; UPI000387D587
UniRef50_F7CZD1	H7C0I5; H0YGN5
UniRef50_H2R6D5	Q8IZ25
UniRef50_Q9H8J5	Q9H8J5; F5H6G8; F5H3M3; B4DQ82
UniRef50_Q8NB91	A0A024RBW1; C9J5X9; Q8NB91; UPI0005D02392
UniRef50_Q96GZ8	Q96GZ8
UniRef50_H0Y8Y0	H0Y8Y0
UniRef50_Q8J025	Q8J025
UniRef50_O14818	O14818; Q05DH1; O14818-2
UniRef50_Q5VT25	Q9NYF6; A0A0A0MRJ1; UPI0005CFF78D; Q5VT25; Q5VT25-2
UniRef50_F1STW7	B4DVE8
UniRef50_H7C0L2	H7C0L2
UniRef50_Q6YL39	Q6YL39
UniRef50_P01100-3	P01100-3; G3V5N7
UniRef50_O95994	B5MC07; Q4JM47; O95994; B2R7D7; Q53G64; Q4JM46; C9J3E2
UniRef50_Q92522	Q92522
UniRef50_F1S5I7	E5RFY8
UniRef50_F7IT69	Q9C062
UniRef50_Q9ULZ0	Q9ULZ0
UniRef50_K7N7D6	K7N7D6
UniRef50_G3WLZ0	
UniRef50_Q9CR76	Q96B77
UniRef50_E9PD22	E9PD22
UniRef50_F5H510	F5H510
UniRef50_O95166	B6GVL7; S7NE50; A0A091EIM6; O95476; Q6IAW1; A0A0D9RHK5; I3MTA2; Q9DCD6; G3RD40; G5B5A6; G3SMA6; UPI000511CDF3; H9EQ03; H2QC26; G3W239; D2HPU6; G1MDM5; D3DTN6; L9KKY9; G1U255; O95166; A0A096P2N3; Q5PPQ1; F1Q2L2; A0A0D9RHJ9; F6U6S1; H2QC27; I3L4B2; W5PMY4; F7BPZ6; F7D0H5; G5B5A5; Q8MK68; P60517; F7ANW4; I3L2R5; A0A091CLV1; L8IX54; D7RA28; Q9GJW7; UPI0003D0AF48; UPI00020AF651; G1R9C8; G1P2V9; L5JWS8; G3RD36; G5DZM2; I3L236; I3NCI1; H0WPT0; I3L0X6; H2NSH8; H2NSH9; G7PTG1
UniRef50_F5H5G4	F5H5G4
UniRef50_Q3URY7	E5RIG8; A6MW55; A6MW56; B7Z1E3
UniRef50_A2JGV3	A2JGV3
UniRef50_Q8TEK3	UPI0005CFF7B2; Q8TEK3; UPI0000202FB7; H7C3N3; UPI0005CFF1A7
UniRef50_D6RIW3	D6RIW3
UniRef50_Q3SYV3	E7EVY0
UniRef50_H0ZHE4	B7ZW15
UniRef50_Q8N9Q5	Q8N9Q5
UniRef50_A0A0E3H6T4	A0A0E3H6T4
UniRef50_H3BMC5	H3BMC5
UniRef50_Q3SX88	Q3SX88
UniRef50_A5D7N5	UPI0003EDFA8C; U6DJ84; G9KF53; M3Y1C6; UPI0003446F44; F8WAT4
UniRef50_Q12984	Q12984
UniRef50_Q6TCH4	Q5TCK8; Q5TCK7; Q6TCH4-4; Q6TCH4; K9J969; Q6TCH4-3
UniRef50_Q9UIL5	Q9UIL5
UniRef50_C9JUI2	C9JUI2
UniRef50_H2RUJ5	Q5JXM0
UniRef50_A0A096NHD1	I4EPI6; S6CR95; S6CPV9; F8LFX0; S6CPZ2; I4EPH2; F2QL90; F8LFW2; A0A0A7C6S9; F8LFS7; F8LFX8; S6CQA0; M4N8J6; I4EPH7; G8B1X7; D9UAW8; Q1HCM3; S6CQA3; A0A088DLH7; S6CQR6; I4EPI4; I4EPH5; F8LFW3; S6CPW0; S6CPZ3; E0WN70; I4EPH6; F8LFW1; B7Z742; F2RM73; S6CQR9; S6CQA1; F8LFX3; S6CPV8; I4EPJ3; I4EPK3; F8LFX2; D9UAW5; I6QTP4; I4EPH1; F8LFW5; F8LFV9; U6EFV4; F8LFW6; V5LLB7; K4MJ59; F6M1S4; I4EPI2; A0A060VCZ0; K7DWB2; F8LFY5; I4EPI8; H0Y4X4; I4EPI3; S6CQA5; S6CQA2; I4EPI9; F8LFV6; F8LFW0; W0GBI0; S6CQS0; S6CPZ4; F8LFX1; S6CPZ6; I4EPI5; A6Q0V9; F8LFV7; A0A0A7CAV5; W1EA75; I4EPH8; S6CR93; I4EPJ4; S4VF54; F8LFX4; I4EPJ2; S6CR91; I4EPJ0; F8LFX9; A0A0E3DCB5; F8LFW7
UniRef50_Q9Y316-3	A8K3Y8; Q2VIM3
UniRef50_H2NAT9	D6RBY7
UniRef50_Q5FC10	Q5FC10
UniRef50_Q9UJ72	Q9UJ72; A0A087X0X1
UniRef50_H0YJV0	H0YJV0
UniRef50_Q9D7Y1	B4DEX4
UniRef50_V9GZ26	V9GZ26
UniRef50_H9F454	B3KST6
UniRef50_J3QS65	K7EKK0; J3QS65
UniRef50_D6RIW4	D6RIW4
UniRef50_Q3UY23-2	B3KUL3
UniRef50_A2RRE5	A2RRE5
UniRef50_B7Z2W2	B7Z2W2
UniRef50_B0QYP3	B0QYP3
UniRef50_B9A014	G3RX97; B9A014
UniRef50_Q96UQ7	H0YDD8
UniRef50_G3IAK5	
UniRef50_D6RB93	D6RB93
UniRef50_G3V3F8	G3V3F8
UniRef50_UPI0005D017B8	
UniRef50_A0A0S2Z4C1	
UniRef50_Q9UHG3	Q9UHG3-2; C9JM55; Q584P1; B7Z3Y2; Q9UHG3; B7Z8A2; C9K055; C9JGT6; Q53ST0
UniRef50_O60658-2	
UniRef50_Q6NUT2	Q6NUT2; F5H1L7; UPI0005D021C4; F5H4G6; UPI0005D02E1D; UPI0003EAE91B; Q6NUT2-2
UniRef50_Q9BTZ2-5	F5H660; Q6E0Y0; Q9BTZ2-2; F5GWZ1; B7Z6Z5; E9PFL3
UniRef50_Q5NE16	Q5NE16
UniRef50_K7EJW9	K7EJW9
UniRef50_H0YLF6	H0YLF6
UniRef50_Q9BRU2	Q9BRU2; G3SHU0; H2QYY1
UniRef50_P12749	Q6IBH6; A0A024RBF6
UniRef50_Q9JJG0-4	B2RWP4; E7EMZ9
UniRef50_Q9NYT6-2	B2RBM0; K7ELA7; K7EJT0; Q9Y2R1
UniRef50_A0A087X1K7	A0A087X1K7
UniRef50_U6D0D4	
UniRef50_R4GKU7	G3XAM1; B4DU89
UniRef50_A0A0A0MS98	A0A0A0MS98; G4V2I7
UniRef50_Q8WUA4	C9JNH7; C9JQ12; Q8WUA4; Q53QN0; Q53SY8; UPI0005D01798; K7BN61
UniRef50_Q86V25-4	
UniRef50_H3BM75	H3BM75
UniRef50_Q6KC15	Q6KC15
UniRef50_Q556Y4	B0QY34
UniRef50_K7EMJ9	K7EMJ9
UniRef50_Q7Z4T8	Q7Z4T8; UPI0005D02F7A; A0A090N7Y5
UniRef50_Q80Y83	A0A087WVH1; UPI00064343E3; Q155Q3; M1EMD3
UniRef50_I3LZU1	
UniRef50_I3NCB0	B4DYW9; B4DPJ5
UniRef50_F8WDF4	F8WDF4
UniRef50_P43308	H2Q088; B4DUJ9; E9PQI4; UPI00062AB93A; P43308; K7BGH0; G1RNY7
UniRef50_H0Y8P0	H0Y8P0
UniRef50_Q6UXH9-2	E9PQ70; Q6UXH9-2
UniRef50_G3R2I1	D6RJ96; A0A0A0MSM0; A0A087WYC1; B4DY72
UniRef50_Q59GA3	Q59GA3
UniRef50_K7ENU4	K7ENU4
UniRef50_L0R4Z7	L0R4Z7
UniRef50_B7Z427	B7Z427; Q9NTA1
UniRef50_P22727	Q53S45; Q9Y6F9; Q8N2E5; UPI0005D03759
UniRef50_Q09137-2	A0A0A0N0L1; K9J960
UniRef50_Q8BL48	A0A024R8N4; Q9C0B0; G3R1E1; UPI00006C180C; K7BR55; UPI0003E72AE3
UniRef50_Q96ET8-3	J3KS67
UniRef50_O43809	Q5RAI8; L8ICW2; I3M6R7; F7I8U3; B2R6U8; A0A024R6W2; A0A096NIH1; A0A0D9QYM3; O43809; G7NPC1; Q3ZCA2; W5QAS3; H2QB47; H3BND3; G7Q156; G1QN95
UniRef50_Q8WW14-2	
UniRef50_Q9UHG0	H2QSD3; A0A024R023; Q9UHG0
UniRef50_Q8IZ57	G1QMT6; Q8IZ57; Q5VTS0; H2PI21; G3S9H2
UniRef50_F1N3H6	
UniRef50_H7BZB5	H7BZB5
UniRef50_E9PQ56	E9PQ56; H0YEM1
UniRef50_Q8NFX4	Q8NFX4
UniRef50_A1A4V9-2	
UniRef50_H0YBJ7	H0YBJ7
UniRef50_L9LDA5	
UniRef50_F6XPZ0	
UniRef50_Q12830	F7HE05; Q12830-4; Q12830; E7ETD6; Q86TN2; G3SDK8; U6D957; UPI000387BA58
UniRef50_H0YCA7	H0YCA7
UniRef50_Q5JX69	Q5JX69; UPI0000470A4C
UniRef50_H2QE81	Q8NA74
UniRef50_F7DNH7	
UniRef50_Q60817	H0YHX9
UniRef50_Q31611	UPI0000D610ED; Q31611; A0A0G2JNX1
UniRef50_Q6ZPD9-2	
UniRef50_E9PLA3	E9PLA3
UniRef50_C9JEA3	C9JEA3
UniRef50_F7HKE2	Q9H715
UniRef50_K7EQ38	K7EQ38
UniRef50_Q92844	UPI0000EE2E7F; E7EV32; Q92844; E7EMT6; UPI000387B1C5; UPI000387AF32; Q53TI5; Q4ZG76; E7EWR8; H2QIV9; UPI0004F089DD; E7ENY2
UniRef50_A0A091E1P4	Q86SE3; Q86UG6
UniRef50_J3KSW4	J3KSW4
UniRef50_O60245	O60245; H0YAH0
UniRef50_Q8N5M1	Q8N5M1
UniRef50_P18031	H2R283; B4DSN5; A8K3M3; P18031
UniRef50_J3QR80	J3QR80
UniRef50_Q8NGI8	Q8NGI8
UniRef50_Q5VYM1-3	UPI0000D74C46; F8W7H5
UniRef50_Q9QUI0	B4DKN9; Q5JR05
UniRef50_H0Y9J4	H0Y9J4
UniRef50_D6RGF8	D6RGF8
UniRef50_Q6ZU45	Q6ZU45
UniRef50_M0R338	M0R338
UniRef50_C9J9P4	C9J9P4
UniRef50_O75486-3	
UniRef50_O75844	B3KNM6; O75844
UniRef50_J3QKR2	J3QKR2
UniRef50_Q8WXF0	Q8WXF0; H2QTE1; H9FQ23; A0A096P096
UniRef50_K7F6U5	UPI000387B79B; Q5QPI9; B4DHS2
UniRef50_K7F459	B7Z1U8
UniRef50_L8EB40	L8EB40
UniRef50_L5L3V5	
UniRef50_P78417	P78417; P78417-3; Q5TA02; V9HWG9; B2R983
UniRef50_H0Y6D1	H0Y6D1
UniRef50_Q6C807	O75436-2; S4R3Q6; F6SZY8
UniRef50_Q8IXB1-3	H7C1G0; E7EP04; Q6YPB0; Q86XS7
UniRef50_L8E882	L8E882
UniRef50_H3BQZ3	H3BQZ3
UniRef50_K7ELQ6	K7ELQ6
UniRef50_H3BQT7	H3BQT7
UniRef50_C9J4Q7	C9J4Q7
UniRef50_B3KSE4	B3KSE4
UniRef50_P01135	H0Y6S5; H2QI26; G1RGR8; P01135
UniRef50_F1RT62	UPI000387D5ED; K7EMU3
UniRef50_F5GWQ2	F5GWQ2
UniRef50_B5TZ79	B5TZ79; B5TKC0; B5LY05
UniRef50_Q99JD3	UPI0005CFFE6D; A0A087WY12; UPI0005D03ED3
UniRef50_P84351	
UniRef50_Q9QYS9-7	G3QEM5; Q5W9D6; Q9QYS9; F7IS94; B0BNF5; B4DHR6; U3DBQ1; Q96PU8-6; Q5W9D5; Q96PU8; UPI0000E21268; Q5W9D7; G9KJM0; Q3UQQ1; M3UZ14; Q9QYS9-3; Q9GMY1; Q7JJZ8; H0WN63; G3IPT8; K7APS1; U3E7L2; I2CYY5
UniRef50_C7T5C8	S6E000
UniRef50_B4DSV0	B4DSV0
UniRef50_G3U2G5	A8K479
UniRef50_K9IWG0	
UniRef50_G5E9U9	G5E9U9
UniRef50_F8VVS4	F8VVS4
UniRef50_F7HVG1	
UniRef50_G3VAC8	A0A087WYJ1; Q2TU80
UniRef50_P15812-8	
UniRef50_P15116	P19022; P55283; K7B609; V9QKE6; UPI0002A4716C; P55283-2; C9J126; A0A024RC42; C9JMH2; H2QED9; Q8ND09; B2RCN5
UniRef50_H7C2B0	H7C2B0
UniRef50_P55773-2	
UniRef50_Q9NTN3-2	Q9NTN3-2; B7Z9Q8
UniRef50_F8W9W8	F8W9W8
UniRef50_Q15287	G7Q091; H3BMM9; Q99M28; F7J0L1; G1MHN0; Q4R5N1; F6QGT5; F7HF91; Q15287; F6XEW2; A0A096NL34; G1PVF5; D3DU92; Q5NVM8; H3BTC0; A0A024R9P1
UniRef50_A8MWV3	A0A0G2JNK2; A8MWV3
UniRef50_Q8WTR8	UPI00062A9BE4; Q8WTR8; M0QXZ9
UniRef50_B7Z6E9	B7Z6E9
UniRef50_Q9NSN8	A0A024R7Y0; Q9NSN8; E5RIN0; B2RA84; UPI0003EAECF9
UniRef50_Q5QFB9	Q5QFB9
UniRef50_F8WEP5	F8WEP5
UniRef50_A8B709	Q29973
UniRef50_A0A061I582	B4DVT5
UniRef50_Q4VNC1	Q4VNC1; Q4VNC0; Q4VNC1-4; Q4VNC1-2; B7WPN9
UniRef50_Q6P444	Q6P444; E9PN39; UPI00001C0B78
UniRef50_F5H116	F5H116
UniRef50_E5RJU8	E5RIZ6; E5RJU8
UniRef50_F6PMQ5	A2N2W8; A2N2X1
UniRef50_D4A8D1	S4R3Y8; F5H665; Q6ZNR0-5
UniRef50_Q14161	F8WAK2; Q14161; R4GNG3; A0A0C4DGN6; Q14161-5; B4E027; Q68DM7; B4DS81; J3QRU8; G7NGS2
UniRef50_Q9UJA2	H2QJX9; UPI00024CBA8C; G3RD74; Q9UJA2
UniRef50_H3BNP9	H3BNP9
UniRef50_B4E0E7	B4E0E7
UniRef50_B7Z8K7	B7Z8K7
UniRef50_Q9NV88	UPI0005D02D4D; UPI00062649C4; Q9NV88; E5RG70; G3XAN1; B7Z970; H2QVZ2; E5RJ88; UPI0005FC2F32; Q9NV88-3; UPI0005FBB52F
UniRef50_H3ATN4	
UniRef50_C6ZRB8	P49895-3; C6ZRB8; E9PI35; C6ZRC1; C6ZRB9
UniRef50_A0A068BDT2	A0A068BDT2; A0A068BC99
UniRef50_Q86SH2	Q86SH2; B9EG67
UniRef50_O70258-2	B4DP78; UPI0003CC08BD; H0YC75; E9PEH6; B7Z2R4
UniRef50_H3BPT9	H3BPT9
UniRef50_Q8BUR3	F6VXT0; C9JXI1; A0A0D9S7L3; UPI00045DAC6F; Q9UPW0
UniRef50_F8WC91	F8WC91
UniRef50_A0A087X1W9	A0A087X1W9
UniRef50_Q15833	A0A087WWS7; R4GMY7; Q15833; O00184; Q53GF4; Q15833-3
UniRef50_H0YD28	H0YD28; H0YEI5
UniRef50_Q9NNX6	H7BXU4; E7ENS9; UPI0003EB04F4; M0QZ42; B4E2A8; Q9H2X3; B2R907; Q2TB20; B4E2Z5; Q9NNX6
UniRef50_Q969W0	G1QSP8; UPI0002C4310D; A0A0D9RSZ4; H9FQR5; I7GMV0; H2NL01; Q969W0; K7DQF9
UniRef50_Q5W0Q7	UPI000387BE3E; A8K1B1; Q5W0Q7-2; Q5W0Q7
UniRef50_I3KTN1	
UniRef50_H7C4X1	H7C4X1
UniRef50_Q8N9Y4	Q8N9Y4; G3V5K4; Q8N9Y4-2
UniRef50_Q0GM93	Q0GM93
UniRef50_Q96PT0	UPI0005CFF5E8; M0QYN5; Q96JD7; Q96PT0
UniRef50_Q9BXH2	Q9BXH2
UniRef50_O75818	O75818; X6RLL4
UniRef50_UPI0005CFF542	
UniRef50_Q6ZNU4	Q6ZNU4
UniRef50_Q16406	Q16406
UniRef50_B9A019	B9A019
UniRef50_Q96IY4-2	A0A087WSY5
UniRef50_Q1JPW0	D6REJ4
UniRef50_Q9Y3Q3-2	F5H4M7; Q8N2D9; G3V1J9
UniRef50_O15211	O15211; A2AB89; A0A024RCS9; Q54AJ0; A0A024RCR8; UPI000049E03A; UPI00004E8390; Q9BSI0
UniRef50_F6WBK3	M0R0T8
UniRef50_D6RG17	D6RG17
UniRef50_Q569Z1	Q96G38
UniRef50_X5DRH9	X5D2X6; X5DRH9
UniRef50_O95389	A0A096N1I5; O95389-2; UPI0005CFF355; O95389; O95958; Q3T1A9
UniRef50_H0Y7N6	H0Y7N6
UniRef50_H2QAF3	
UniRef50_Q96D71	B2R7D3; Q96D71
UniRef50_A0A091DT03	
UniRef50_Q8TBB0	D6RJG2; Q8TBB0; UPI0003C8ED28; A0A024RDF9; D6RC19; UPI000387DD32
UniRef50_F6T3B3	B7Z229
UniRef50_O60832	K7CJN9; O60832; G3RNN2
UniRef50_D6RHV8	D6RCD9; D6RHV8
UniRef50_Q15164	Q15164
UniRef50_F1PST9	B7Z657
UniRef50_F7I663	Q9P040
UniRef50_Q9P1H6	Q9P1H6
UniRef50_Q7Z353	E2QRN0; Q7Z353; Q7Z353-2
UniRef50_M3XGM9	A0A087WXR5
UniRef50_M7BJS2	
UniRef50_A0A087X2B6	A0A087X2B6
UniRef50_O75443	UPI00004EE49C; E9PJJ0; H9FLW9; O75443; UPI0005126A95; UPI00051215E3
UniRef50_G3WVN4	B4E0U7; F8W9B8
UniRef50_Q9BXG8	D6RFL8; Q9BXG8
UniRef50_A0A0A0MTT3	A0A0A0MTT3
UniRef50_Q6ZW35	A6NCW3; P0DMU3; P0DMU5; P0DMU4; Q6ZW35
UniRef50_P55916	P55916-2; P55916; F5H3N5
UniRef50_K7EMR9	K7EMR9
UniRef50_P13284	A0A024R7N7; A6XNE3; M0QZG3; P13284; A8K686
UniRef50_O00298	O00298
UniRef50_A0A0D9SGG2	A0A0D9SGG2
UniRef50_G3I791	M0QY96
UniRef50_G3X2P2	Q5JX57; Q5JX45; Q59EI4; Q5JX61; Q5JX52
UniRef50_A8KB58	E9PKG5
UniRef50_P49903-4	UPI0003C90D28; Q8N9T3; UPI0004F1EE4D; Q5T5U6; Q8NAW0
UniRef50_UPI0005D008AB	
UniRef50_L8E745	L8E745
UniRef50_A0A0U1RRN1	
UniRef50_A0A060XEP0	
UniRef50_Q8IU97	Q8IU97
UniRef50_Q02591	P56915
UniRef50_Q9UFB4	Q9UFB4
UniRef50_Q0VAX2	H0YN25; F1T0J9
UniRef50_B8ZZF0	B8ZZF0
UniRef50_Q96A54	H2N448; G3QQZ7; Q86V24; H2R337; I7GJA6; Q96A54; C9J0W7; UPI0005F39742; G3RDI3; H2Q0X5; C9JNM5
UniRef50_H3BV81	H3BV81
UniRef50_V9H046	V9H046
UniRef50_O00203	UPI00027442BA; Q13367-2; UPI0005D03309; A8K586; O00203-3; Q13367; Q68CN5; O00203
UniRef50_L8ECC6	L8ECC6
UniRef50_Q71RG6	Q71RG6
UniRef50_L0N330	Q12777
UniRef50_C9JKA9	C9JKA9
UniRef50_Q9JJR6	
UniRef50_F7IMW7	Q2VYF2
UniRef50_F8VWD7	F8VWD7
UniRef50_H7C2M0	H7C2M0
UniRef50_Q8TCT6	F5H6I1; G1S1E1; Q8TCT6-3; Q8TCT6; Q53EP9; I7GL69; G3RJF9; F5H4L1; A8K546; L9KM47; UPI00042BD5C9; F6TRI6; F5H7J2; F5H2A2; F5H4Y6; UPI0005D01C0C; A0A024RBP7; K7EW16
UniRef50_F8WF23	F8WF23
UniRef50_Q9BY07	Q9UDR3; Q9BY07-2; UPI0005764189; C9JW32; Q53S35; C9JU12; Q9BY07-8; Q9BY07; Q53QY5; C9JNL6
UniRef50_M0R1M6	M0R1M6
UniRef50_A2RRB5	A2RRB5
UniRef50_F8WF68	F8WF68
UniRef50_A3KMH1	UPI0001B790D0; A3KMH1-2; A3KMH1
UniRef50_O95436	Q8N130; D6RA94; O95436; A8K9G0; A0A0B5E3E9
UniRef50_V9GZ24	V9GZ24
UniRef50_Q6UXH1-5	
UniRef50_H0Y964	H0Y964
UniRef50_H3BRD0	H3BRD0
UniRef50_Q9HBY0	Q9HBY0
UniRef50_A0A0A0MRC6	A0A0A0MRC6; Q9NSS6
UniRef50_K7ERE5	K7EM95; K7ERE5
UniRef50_Q9P2F8	Q9P2F8; A7E2F9
UniRef50_G3HYZ0	
UniRef50_Q6NZQ8	A8K0Z6; UPI0003BBFB98; Q8TCQ1; D6REN1
UniRef50_Q9NWE4	Q9NWE4
UniRef50_A4NZ09	H0YE96
UniRef50_L8IR41	
UniRef50_Q71F23-3	Q09GN1; A5D8X7
UniRef50_UPI0005D03EAE	
UniRef50_Q9NY93	Q9NY93; G3V0G3; Q53HB9; G3R8N1
UniRef50_U3JWI7	H0Y765
UniRef50_A0A024R7Z2	A0A024R7Z2
UniRef50_Q9Y592	UPI0005D001A0; A0A024RBD4; UPI000049DD80; J3KNW7; Q9Y592; H0YHH5; UPI0005D01E91
UniRef50_A0A0U1RRF5	
UniRef50_UPI000387B79C	
UniRef50_Q9P1Y5	Q9P1Y5
UniRef50_Q15078	F7DFC5; H2NTA8; A0A096NC49; Q8TAM4; A0A0D9R224; H2R9L6; Q8N619; Q15078; UPI0005122B28
UniRef50_Q9UHU1	Q9UHU1; G3RDG3
UniRef50_Q92871	UPI00029DBEB2; A0A024R1U5; H2QLS6; Q92871; G1S076
UniRef50_F5H6R3	F5H6R3; F5GXS6
UniRef50_O96034	O96034
UniRef50_A0A091CYI2	
UniRef50_K7ERR5	K7ERR5
UniRef50_F7BQZ1	
UniRef50_M0R393	M0R393
UniRef50_P06815	B3KUH9
UniRef50_G1NB43	B4DLT5
UniRef50_Q9Y490	UPI00042CC397; H0YMT1; Q9Y490; UPI0004D07ECA; B4DGF3; UPI000387C672; Q9Y4G6
UniRef50_Q6ZUC8	Q6ZUC8
UniRef50_H7C0K5	H7C0K5
UniRef50_Q08648-5	C9IZU7
UniRef50_A1A5B4-3	B7ZB14
UniRef50_H7BXG6	H7BXG6
UniRef50_G3MXR2	Q9H7S7; M0R2S7; B3KY80; M0QZZ9
UniRef50_B1APQ0	B1APQ0
UniRef50_L5M2Y5	G3V278; A1L390-2; UPI0005D0060B; G3V3I3; G3V311; UPI0005D02199; G3V2V2
UniRef50_Q96JL9-2	M0R0S8
UniRef50_C9JY63	C9JY63
UniRef50_H0YNP3	H0YNP3
UniRef50_A0A0J9YW16	
UniRef50_H0Y8H2	H0Y8H2
UniRef50_P08571	B2R888; F1C4A7; D6RD81; P08571; D6RFL4; E7EVL5
UniRef50_Q9NZM6-7	
UniRef50_G1NXB6	
UniRef50_H0YE57	H0YE57
UniRef50_B5MCC3	B5MCC3
UniRef50_X6RBI5	X6RBI5
UniRef50_H0YQW4	B9TX10
UniRef50_Q9H3T3	Q9H3T3
UniRef50_H2PTW5	O75798
UniRef50_Q8BV60	
UniRef50_Q147X3	B3KS28; Q147X3
UniRef50_Q9NUQ3	Q9NUQ3
UniRef50_K7EKR4	K7EKR4
UniRef50_Q9UKL6	Q549N3; I3L3H0; UPI000387BBED; I3L2M9; Q9UKL6-2; Q9UKL6
UniRef50_H0YE70	H0YE70
UniRef50_Q9P203-5	H0YJ41; B4E0F4
UniRef50_D6RD72	D6RD72
UniRef50_B3KWS6	B3KWS6
UniRef50_S4R440	Q6PJ92; S4R440; Q6PIG1
UniRef50_K7ENN4	K7ENN4; G7PWC0; UPI0005F3C346
UniRef50_F8WB33	F8WB33
UniRef50_Q96MY1-2	A0A087WTU5
UniRef50_Q5NV91	A2N2F4; Q5NV91; A0A075B6S4; A2IPI5; A0A075B6J3; A2IPI2; A0N5G5; A0A0B4J1Z2
UniRef50_H3BMJ7	H3BMJ7; J3QQI8
UniRef50_S9YE89	S9YE89; UPI0003C86D26; H3BPE4; H3BTY8; U6DLY8; Q66JU1
UniRef50_I3LGM7	Q05B41; Q0VD90; Q7Z2V8
UniRef50_UPI000292AAF8	
UniRef50_O43920	Q6IBA0; Q0MQH4; O43920; K7AJB5
UniRef50_Q86X29	M0R1W9; UPI0002744AEC; Q86X29; S4R3V8
UniRef50_P28661-4	UPI00002010F0; J3QLR2; UPI00002010F1; J3QRT6; Q8WYJ6; Q7KYV2; Q99648; J3KSZ7; J3KNL2
UniRef50_P30566-2	A8K4X6
UniRef50_K7ERB7	K7ERB7
UniRef50_A0A0J9YWN2	
UniRef50_H7C058	H7C058
UniRef50_Q9Y6W4	Q9Y6W4
UniRef50_G3TD21	C9JYN0; UPI0003EAE916
UniRef50_Q8R1S4	O43312; E7EWW5; A5YM41; B7Z7H8
UniRef50_Q1LXE6	UPI00029DB44F; UPI0001891270; Q8N584; Q8N584-2; G3RV75
UniRef50_H3AWD0	B4DG97
UniRef50_R4GDL7	
UniRef50_B3KWF0	B3KWF0
UniRef50_K7EK44	K7EK44
UniRef50_Q80SY6	
UniRef50_Q3LIE6	Q3LIE6
UniRef50_Q6UVY6	Q6UVY6
UniRef50_M0R2F4	M0R2F4
UniRef50_H0Y8K6	H0Y8K6
UniRef50_Q9H9F9	UPI000387C28B; Q9H9F9
UniRef50_Q8WVJ0	Q8WVJ0
UniRef50_L7UQJ2	L7UQJ2
UniRef50_B5MCP9	B5MCP9
UniRef50_Q6N053	Q6N053
UniRef50_A6NKZ9	G9KTB4; UPI00052947C9; A6NKZ9; S9XSP1; E7ETJ9
UniRef50_P56557	G1M8P4; U6CS83; Q5R4C3; E2RRK3; B2B995; Q4R670; B0VXG6; G2HFA3; F6VXN2; B1MT62; A9CAZ8; B4USV7; L8ISD0; W5PUG2; G9KU61; P56557; G1QUT5; G3SKJ8; Q2V8N0; I3N8G8; F7DMQ7; Q3SZL9
UniRef50_Q59HG5	Q59HG5
UniRef50_V9GYY3	V9GYY3
UniRef50_Q9Y6Y1-4	K7BP86; Q3TYE0; H0YJV1; Q9Y6Y1-3; Q3KQW8; F7FA65
UniRef50_A1L193	A1L193
UniRef50_Q9TQC0	Q9TQC0
UniRef50_P52926-4	H0YFY4; P52926-4
UniRef50_Q5H9L2	Q5H9L2
UniRef50_H0YFA1	H0YFA1
UniRef50_Q8NF93	Q8NF93
UniRef50_Q4R769	
UniRef50_Q9P2X7	A0A087WT93; Q9P2X7
